X1_um,Y1_um,Z1_um,X2_um,Y2_um,Z2_um
507.9490857,-1376.945647,-507.9490857,-474.035109,-1401.06024,474.035109
515.8681328,-1397.510452,-515.8681328,-480.9173165,-1422.3577,480.9173165
523.7947934,-1418.06939,-523.7947934,-487.7916371,-1443.660254,487.7916371
534.3755138,-1445.472173,-534.3755138,-496.9451261,-1472.071573,496.9451261
542.319931,-1466.0174,-542.319931,-503.8010367,-1493.38599,503.8010367
550.2719545,-1486.556742,-550.2719545,-510.6490541,-1514.705481,510.6490541
560.8864807,-1513.933366,-560.8864807,-519.7674626,-1543.139352,519.7674626
568.8562438,-1534.458953,-568.8562438,-526.5970553,-1564.47066,526.5970553
576.8336059,-1554.978636,-576.8336059,-533.4187487,-1585.807023,533.4187487
587.4819057,-1582.329019,-587.4819057,-542.5020488,-1614.26336,542.5020488
595.4769904,-1602.834903,-595.4769904,-549.305303,-1635.611494,549.305303
603.4796668,-1623.334864,-603.4796668,-556.1006516,-1656.964664,556.1006516
614.1617076,-1650.658922,-614.1617076,-565.1488155,-1685.44338,565.1488155
622.1820896,-1671.145041,-622.1820896,-571.9257104,-1706.808276,571.9257104
630.210056,-1691.625219,-630.210056,-578.6946935,-1728.178187,578.6946935
640.9258053,-1718.922869,-640.9258053,-587.7076937,-1756.679195,587.7076937
648.9714601,-1739.38916,-648.9714601,-594.4582087,-1778.060787,594.4582087
659.710786,-1766.668276,-659.710786,-603.4465781,-1806.577348,603.4465781
667.7741172,-1787.12065,-667.7741172,-610.1786148,-1827.970589,610.1786148
675.8450204,-1807.567051,-675.8450204,-616.9027292,-1849.368812,616.9027292
686.6179992,-1834.819618,-686.6179992,-625.8558883,-1877.907517,625.8558883
694.7065616,-1855.252059,-694.7065616,-632.5615102,-1899.317344,632.5615102
702.8026884,-1875.678508,-702.8026884,-639.2592036,-1920.732133,639.2592036
713.6092875,-1902.904442,-713.6092875,-648.1771252,-1949.292896,648.1771252
721.7230563,-1923.316887,-721.7230563,-654.8563117,-1970.719243,654.8563117
729.8443822,-1943.723321,-729.8443822,-661.5275637,-1992.150533,661.5275637
740.6845685,-1970.92254,-740.6845685,-670.4102206,-2020.733266,670.4102206
748.8235191,-1991.314927,-748.8235191,-677.0629515,-2042.176068,677.0629515
756.9700193,-2011.701284,-756.9700193,-683.7077417,-2063.623794,683.7077417
767.8437598,-2038.873705,-767.8437598,-692.5551068,-2092.22841,692.5551068
776.0078674,-2059.245972,-776.0078674,-699.1813618,-2113.687602,699.1813618
784.1795172,-2079.61219,-784.1795172,-705.7996701,-2135.151698,705.7996701
795.0867788,-2106.75773,-795.0867788,-714.6117164,-2163.77811,714.6117164
803.2760184,-2127.109815,-803.2760184,-721.2114753,-2185.253626,721.2114753
811.4727928,-2147.455832,-811.4727928,-727.8032814,-2206.734027,727.8032814
822.4135423,-2174.574409,-822.4135423,-736.5799822,-2235.382149,736.5799822
830.6278891,-2194.906249,-830.6278891,-743.1532249,-2256.873924,743.1532249
838.8497631,-2215.232004,-838.8497631,-749.7185088,-2278.370563,749.7185088
849.8239671,-2242.323534,-849.8239671,-758.4598372,-2307.040307,758.4598372
858.063396,-2262.635068,-858.063396,-765.0065437,-2328.548275,765.0065437
866.3103447,-2282.940498,-866.3103447,-771.5452853,-2350.061089,771.5452853
877.3179698,-2310.004899,-877.3179698,-780.2512148,-2378.752367,780.2512148
885.5824558,-2330.296065,-885.5824558,-786.7713651,-2400.276463,786.7713651
893.8544539,-2350.581108,-893.8544539,-793.2835446,-2421.805385,793.2835446
904.8954666,-2377.618299,-904.8954666,-801.9540486,-2450.51811,801.9540486
913.1849844,-2397.889034,-913.1849844,-808.4476228,-2472.058269,808.4476228
924.2493483,-2424.907128,-924.2493483,-817.0933133,-2500.785955,817.0933133
932.5563734,-2445.163526,-932.5563734,-823.5682725,-2522.337318,823.5682725
940.8708978,-2465.41377,-940.8708978,-830.0352508,-2543.893473,830.0352508
951.9685921,-2492.404513,-951.9685921,-838.645471,-2572.642458,838.645471
960.3006061,-2512.640376,-960.3006061,-845.0938205,-2594.209771,845.0938205
968.6401118,-2532.870066,-968.6401118,-851.5341834,-2615.781858,851.5341834
979.7711025,-2559.833376,-979.7711025,-860.108907,-2644.552053,860.108907
988.12808,-2580.048642,-988.12808,-866.5306273,-2666.135252,866.5306273
996.4925416,-2600.257718,-996.4925416,-872.9443549,-2687.723203,872.9443549
1007.656795,-2627.193512,-1007.656795,-881.4835559,-2716.514521,881.4835559
1016.03871,-2647.38812,-1016.03871,-887.8786273,-2738.11354,887.8786273
1024.428102,-2667.576519,-1024.428102,-894.2657003,-2759.717291,894.2657003
1035.625584,-2694.484715,-1035.625584,-902.7693525,-2788.529644,902.7693525
1044.032412,-2714.658604,-1044.032412,-909.1377556,-2810.144416,909.1377556
1052.446709,-2734.826265,-1052.446709,-915.4981545,-2831.763901,915.4981545
1063.677386,-2761.706781,-1063.677386,-923.9662321,-2860.597202,923.9662321
1072.109101,-2781.859889,-1072.109101,-930.3079475,-2882.227661,930.3079475
1080.548277,-2802.00675,-1080.548277,-936.6416528,-2903.862814,936.6416528
1091.812113,-2828.859506,-1091.812113,-945.07413,-2932.716974,945.07413
1100.268689,-2848.99177,-1100.268689,-951.3891384,-2954.363055,951.3891384
1108.732719,-2869.117771,-1108.732719,-957.6961308,-2976.01381,957.6961308
1120.029682,-2895.942683,-1120.029682,-966.092982,-3004.888743,966.092982
1128.511093,-2916.054044,-1128.511093,-972.381264,-3026.550379,972.381264
